label,brunet_w,proper_nouns_count,singular_words_count,entity_diversity
0,69.92663225579837,14,60,0.7142857142857143
0,80.11260337920561,10,65,0.7
0,108.41110507298326,28,113,0.6071428571428571
0,61.49651470905118,7,59,0.42857142857142855
0,80.30481021817491,16,80,0.875
0,75.17238641172767,9,58,1.0
0,78.95398064240949,6,56,0.8333333333333334
0,49.687220825830735,15,51,0.8
0,66.95290357285842,13,60,0.5384615384615384
0,45.977630316857514,17,51,0.7058823529411765
0,72.20573055349914,9,59,0.7777777777777778
0,94.76069532230304,17,101,0.7647058823529411
0,75.83733267773917,7,60,0.8571428571428571
0,54.187963239590665,4,57,1.0
0,77.31905224196431,15,66,0.6666666666666666
0,58.70159629459207,11,57,0.6363636363636364
0,51.23994647663795,4,48,0.5
0,54.34539777825237,13,50,0.9230769230769231
0,89.88037039406842,4,69,1.0
0,67.11288204104345,8,47,1.0
0,68.1326301934141,15,81,0.5333333333333333
0,72.6795190077467,13,79,0.6153846153846154
0,55.87005874589026,6,49,0.6666666666666666
0,72.17987173184642,8,52,0.75
0,74.48348465945854,7,61,0.8571428571428571
0,78.67896571020776,13,78,0.6153846153846154
0,135.4550032128324,24,136,0.4583333333333333
0,65.49035499404512,14,65,0.7142857142857143
0,63.66640889972854,13,54,0.8461538461538461
0,58.42168897359863,12,57,0.5833333333333334
0,78.70264446502021,12,72,0.8333333333333334
0,64.13612139512418,5,42,1.0
0,68.89816536412661,7,59,1.0
0,76.68028245753807,10,64,0.6
0,100.60195457035744,11,100,0.7272727272727273
0,55.013655424961854,13,52,0.7692307692307693
0,59.37436551096158,8,64,1.0
0,63.25581985477658,9,53,1.0
0,71.17197331852115,22,74,0.5
0,66.95290357285842,8,52,0.625
0,60.353177554448166,10,50,0.9
0,59.49977527017545,9,48,0.8888888888888888
0,64.7198802294093,5,57,0.8
0,80.00013947836543,11,82,1.0
0,52.664246985312936,17,54,0.7058823529411765
0,50.71195236469713,5,41,0.8
0,75.27831483237144,8,67,0.875
0,70.49841639645345,13,70,0.6923076923076923
0,58.031901494661696,8,52,0.75
0,49.99167433934025,8,32,0.75
0,77.86891595564447,5,67,1.0
0,61.66265063936499,15,66,0.6
0,48.91085800042713,7,49,0.7142857142857143
0,61.09929939735039,12,58,0.75
0,104.27470564112961,13,101,0.8461538461538461
0,50.515515401098114,4,45,1.0
0,56.72421910231361,11,68,0.7272727272727273
0,99.21905791700758,19,86,0.7368421052631579
0,65.20053923466176,16,74,0.5
0,52.961319064659975,20,46,0.8
0,48.400144985602566,5,41,1.0
0,62.13227856479532,12,69,0.5
0,65.29241592603645,16,73,0.75
0,48.040093469685,3,36,1.0
0,49.013237543324934,14,50,0.7142857142857143
0,62.35947771160488,18,56,0.7222222222222222
0,67.88429447829682,7,53,1.0
0,72.20573055349914,8,63,0.875
0,60.966953152813126,6,47,0.8333333333333334
0,41.42487562029087,9,44,0.6666666666666666
0,61.79115399430745,7,49,1.0
0,60.27249962433357,7,48,0.7142857142857143
0,62.48440741752321,11,58,0.7272727272727273
0,87.59527623150737,17,93,0.7647058823529411
0,67.08532207082672,14,59,0.8571428571428571
0,63.391257876878996,4,44,0.75
0,46.08607478157929,4,41,0.75
0,59.63451496866318,9,47,0.7777777777777778
0,49.15158459962953,5,27,1.0
0,78.87565187977677,5,38,0.8
0,67.3030790399942,12,48,0.5833333333333334
0,98.31183310625495,8,54,0.75
0,45.852544748689056,5,29,0.6
0,86.14309025547784,5,56,0.8
0,82.40153490432576,11,86,0.6363636363636364
0,53.24961731068488,8,51,0.625
0,49.874039665743744,7,44,0.5714285714285714
0,90.3622393188742,6,64,0.8333333333333334
0,57.13238141079447,2,38,1.0
0,55.66061667238156,11,66,0.7272727272727273
0,60.145461166948095,6,48,0.6666666666666666
0,45.36135748018569,13,31,0.6153846153846154
0,50.463583651234345,6,42,0.6666666666666666
0,38.27487566605738,6,41,0.6666666666666666
0,47.431851441388474,9,55,0.7777777777777778
0,64.85297349333426,14,55,1.0
0,63.77923601353038,11,70,0.8181818181818182
0,63.68843939945454,20,67,0.6
0,101.76686650924933,20,95,0.75
0,54.23881520770887,3,46,1.0
0,61.04522397849169,7,42,0.8571428571428571
0,58.00566398482633,17,60,0.7647058823529411
0,77.82367185408545,17,71,0.5882352941176471
0,73.05422663199455,7,56,0.8571428571428571
0,46.058202486299216,7,36,1.0
0,65.41375636428695,14,52,0.7142857142857143
0,128.1818008005969,24,127,0.6666666666666666
0,46.14344985053372,10,47,0.8
0,55.762143866801935,3,56,0.6666666666666666
0,72.10412574186124,23,79,0.782608695652174
0,55.84244102261116,9,50,0.7777777777777778
0,63.308855076826305,3,55,1.0
0,85.42897581016476,14,81,0.7142857142857143
0,70.38437630223892,14,79,0.6428571428571429
0,84.64220765953638,8,72,1.0
0,57.42200482216499,6,51,1.0
0,62.67445361423463,7,53,1.0
0,61.542471041251886,15,72,0.7333333333333333
0,51.49213624723093,2,38,0.5
0,68.57225405258842,15,67,0.8666666666666667
0,64.57134044450375,10,60,0.8
0,59.63451496866318,9,54,0.8888888888888888
0,73.58817613273116,11,66,0.6363636363636364
0,41.399355312266145,6,41,0.5
0,66.80477490075147,6,51,1.0
0,66.90229175772133,7,66,0.7142857142857143
0,78.05958363966836,15,73,0.6666666666666666
0,60.24637514444976,11,58,0.6363636363636364
0,74.16333151216276,20,78,0.55
0,63.08103281728319,6,56,0.8333333333333334
0,57.23225513169531,5,55,0.6
0,76.65683444997205,31,85,0.45161290322580644
0,59.49977527017545,6,57,0.5
0,83.87966524818921,13,74,0.6153846153846154
0,66.58023310442302,8,76,0.625
0,80.38119292481439,16,73,0.875
0,54.5581416501284,10,51,0.6
0,69.91178642062415,14,83,0.5714285714285714
0,54.70370828914358,7,56,0.5714285714285714
0,60.8434656208605,4,46,1.0
0,47.97303856892034,5,46,1.0
0,87.87781078450612,10,89,1.0
0,62.53679586857233,9,53,0.6666666666666666
0,51.23994647663795,4,43,0.75
0,58.218558419274515,8,57,0.75
0,45.052022373374996,12,45,0.6666666666666666
0,90.60016786435423,8,88,0.5
0,50.515515401098114,6,48,0.6666666666666666
0,42.860502837748534,6,45,0.8333333333333334
0,61.73140714948456,12,72,0.5833333333333334
0,73.92526535185189,8,81,0.375
0,53.870152300001024,7,54,0.42857142857142855
0,41.21128076055064,3,38,0.3333333333333333
0,61.51934874273226,9,58,0.7777777777777778
0,42.48141837108637,4,48,0.75
0,58.2569254828125,3,47,1.0
0,54.83964916994786,5,36,0.8
0,53.08038127307975,11,59,0.5454545454545454
0,59.91539343800992,6,61,0.8333333333333334
0,53.65804509678314,7,64,0.5714285714285714
